,Country/Territory,UN region,ForecastIMF,Forecast_year,World_bank_estimate,World_bank_year,CIA_estimate,CIA_year
172,Suriname,Americas,"3,539",2023,"3,621",2022,"3,224",2021
173,Sierra Leone,Africa,"3,519",2023,"3,970",2022,"4,249",2021
174,Greenland,Americas,—,—,"3,273",2021,,2021
175,Belize,Americas,"3,218",2023,"2,824",2022,"2,492",2021
176,Burundi,Africa,"3,190",2023,"3,073",2022,"3,900",2021
177,Central African Republic,Africa,"2,760",2023,"2,383",2022,"2,518",2021
178,Curaçao,Americas,—,—,"2,700",2021,,2021
179,Bhutan,Asia,"2,686",2023,—,"2,381",2021,2021
180,Cape Verde,Africa,"2,598",2023,"2,315",2022,"1,936",2021
181,Saint Lucia,Americas,"2,469",2023,"2,065",2022,"1,765",2021
182,Gambia,Africa,"2,388",2023,"2,273",2022,"2,038",2021
183,Lesotho,Africa,"2,373",2023,"2,553",2022,"2,373",2021
184,Eritrea,Africa,—,—,"2,255",2021,,2021
185,Seychelles,Africa,"2,085",2023,"1,588",2022,"1,287",2021
186,Zanzibar,Africa,—,—,"2,080",2021,,2021
187,East Timor,Asia,"2,023",2023,"3,163",2022,"2,004",2021
188,San Marino,Europe,"1,998",2023,—,"1,702",2021,2021
189,Guinea-Bissau,Africa,"1,991",2023,"1,634",2022,"1,563",2021
190,Antigua and Barbuda,Americas,"1,949",2023,"1,758",2022,"1,421",2021
191,Solomon Islands,Oceania,"1,690",2023,"1,596",2022,"1,632",2021
192,Sint Maarten,Americas,—,"1,572",2022,"1,154",2021,2021
193,British Virgin Islands,Americas,—,—,"1,539",2021,,2021
194,Comoros,Africa,"1,364",2023,"1,243",2022,"1,340",2021
195,Grenada,Americas,"1,306",2023,"1,256",2022,"1,115",2021
196,Vanuatu,Oceania,"1,166",2023,984,2022,981,2021
197,Turks and Caicos Islands,Americas,—,"1,139",2022,943,2021,2021
198,Saint Kitts and Nevis,Americas,"1,069",2023,962,2022,861,2021
199,Saint Vincent and the Grenadines,Americas,"1,039",2023,949,2022,881,2021
200,Samoa,Oceania,939,2023,832,2022,857,2021
201,Dominica,Americas,697,2023,612,2022,548,2021
202,São Tomé and Príncipe,Africa,674,2023,547,2022,555,2021
203,Tonga,Oceania,547,2023,—,472,2021,2021
204,Micronesia,Oceania,458,2023,427,2022,404,2021
205,Cook Islands,Oceania,—,—,328,2021,,2021
206,Anguilla,Americas,—,—,303,2021,,2021
207,Marshall Islands,Oceania,277,2023,280,2022,257,2021
208,Palau,Oceania,267,2023,—,218,2021,2021
209,Kiribati,Oceania,246,2023,223,2022,227,2021
210,Nauru,Oceania,150,2023,151,2022,155,2021
211,Montserrat,Americas,—,—,72,2021,,2021
212,Tuvalu,Oceania,63,2023,60,2022,60,2021
213,United States,Americas,"2,69,49,643",2023,"2,54,62,700",2022,"2,33,15,081",2021
214,China,Asia,"1,77,00,899",[n 1]2023,"1,79,63,171",[n 3]2022,"1,77,34,131",[n 1]2021
215,Germany,Europe,"44,29,838",2023,"40,72,192",2022,"42,59,935",2021
216,Japan,Asia,"42,30,862",2023,"42,31,141",2022,"49,40,878",2021
217,India,Asia,"37,32,224",2023,"33,85,090",2022,"32,01,471",2021
218,United Kingdom,Europe,"33,32,059",2023,"30,70,668",2022,"31,31,378",2021
219,France,Europe,"30,49,016",2023,"27,82,905",2022,"29,57,880",2021
220,Italy,Europe,"21,86,082",2023,"20,10,432",2022,"21,07,703",2021
221,Brazil,Americas,"21,26,809",2023,"19,20,096",2022,"16,08,981",2021
222,Canada,Americas,"21,17,805",2023,"21,39,840",2022,"19,88,336",2021
223,Russia,Europe,"18,62,470",2023,"22,40,422",2022,"17,78,782",2021
224,Mexico,Americas,"18,11,468",2023,"14,14,187",2022,"12,72,839",2021
225,South Korea,Asia,"17,09,232",2023,"16,65,246",2022,"18,10,966",2021
226,Australia,Oceania,"16,87,713",2023,"16,75,419",2022,"17,34,532",2021
227,Spain,Europe,"15,82,054",2023,"13,97,509",2022,"14,27,381",2021
228,Indonesia,Asia,"14,17,387",2023,"13,19,100",2022,"11,86,093",2021
229,Turkey,Asia,"11,54,600",2023,"9,05,988",2022,"8,19,034",2021
230,Netherlands,Europe,"10,92,748",2023,"9,91,115",2022,"10,12,847",2021
231,Saudi Arabia,Asia,"10,69,437",2023,"11,08,149",2022,"8,33,541",2021
232,Switzerland,Europe,"9,05,684",2023,"8,07,706",2022,"8,12,867",2021
233,Poland,Europe,"8,42,172",2023,"6,88,177",2022,"6,79,442",2021
234,Taiwan,Asia,"7,51,930",[n 4]2023,—,—,NA,2021
